"Town Name, State",Town Name,State,Longitude,Latitude,Coastal,Inland,Urban,Remote,Year Settled,Year Settled,Year Abandoned,Duration (years),Commodities,Mine Size,Mine Type,Mineral Distribution,Town Area (acres),Peak Population
"Barnsville, Alabama",Barnsville,Alabama,-88.082472,34.141639,,,,,,,,0,,,,,,
"Battelle, Alabama",Battelle,Alabama,-85.566231,34.65147,,,,,,,,0,,,,,,
"Bellefonte, Alabama",Bellefonte,Alabama,-85.944160,34.71048,,,,,,,,0,,,,,,
"Blakeley, Alabama",Blakeley,Alabama,-87.914818,30.742929,,,,,,,,0,,,,,,
"Blanche, Alabama",Blanche,Alabama,-85.608231,34.3634,,,,,,,,0,,,,,,
"Boston, Alabama",Boston,Alabama,-86.481903,31.4678,,,,,,,,0,,,,,,
"Broomtown, Alabama",Broomtown,Alabama,-85.515793,34.368359,,,,,,,,0,,,,,,
"Cahaba, Alabama",Cahaba,Alabama,-87.101334,32.31995,,,,,,,,0,,,,,,
"Centerdale, Alabama",Centerdale,Alabama,-86.749338,34.323795,,,,,,,,0,,,,,,
"Claiborne, Alabama",Claiborne,Alabama,-87.512939,31.54286,,,,,,,,0,,,,,,
"Failetown, Alabama",Failetown,Alabama,-88.015732,31.92902,,,,,,,,0,,,,,,
"Forney, Alabama",Forney,Alabama,-85.474068,34.135521,,,,,,,,0,,,,,,
"Louina, Alabama",Louina,Alabama,-85.552483,33.128029,,,,,,,,0,,,,,,
"Morgan Stream, Alabama",Morgan Stream,Alabama,-86.830063,34.495369,,,,,,,,0,,,,,,
"Rock Run, Alabama",Rock Run,Alabama,-85.494713,34.027569,,,,,,,,0,,,,,,
"St. Stephens, Alabama",St. Stephens,Alabama,-88.059547,31.542336,,,,,,,,0,,,,,,
"Stanton, Alabama",Stanton,Alabama,-86.900020,32.73554,,,,,,,,0,,,,,,
"Afognak, Alaska",Afognak,Alaska,-152.768056,58.007778,,,,,,,,0,,,,,,
"Cape York, Alaska",Cape York,Alaska,-167.496094,65.424179,,,,,,,,0,,,,,,
"CHICKEN, Alaska",CHICKEN,Alaska,-141.874321,64.0851495,,,,,,,,0,,,,,,
"Chisana, Alaska",Chisana,Alaska,-142.040833,62.0661111,,,,,,,,0,,,,,,
"Chitina, Alaska",Chitina,Alaska,-144.318174,61.526341,,,,,,,,0,,,,,,
"Council, Alaska",Council,Alaska,-163.675308,64.896568,,,,,,,,0,,,,,,
"Dickson, Alaska",Dickson,Alaska,-149.737301,61.1901537,,,,,,,,0,,,,,,
"DOME, Alaska",DOME,Alaska,-147.445234,65.0429431,,,,,,,,0,,,,,,
"DYEA, Alaska",DYEA,Alaska,-149.679785,61.251266,,,,,,,,0,,,,,,
"EAGLE, Alaska",EAGLE,Alaska,-141.187520,64.779927,,,,,,,,0,,,,,,
"Iditarod, Alaska",Iditarod,Alaska,-158.100601,62.542839,,,,,,,,0,,,,,,
"INDEPENDENCE MINE, Alaska",INDEPENDENCE MINE,Alaska,-149.532500,60.6494444,,,,,,,,0,,,,,,
"Katalla, Alaska",Katalla,Alaska,-144.557129,60.183601,,,,,,,,0,,,,,,
"Kennicott, Alaska",Kennicott,Alaska,-142.881119,61.485538,,,,,,,,0,,,,,,
"King Island, Alaska",King Island,Alaska,-168.061646,64.972839,,,,,,,,0,,,,,,
"Knik, Alaska",Knik,Alaska,-149.728653,61.457451,,,,,,,,0,,,,,,
"Loring, Alaska",Loring,Alaska,-131.636111,55.6025,,,,,,,,0,,,,,,
"NOME, Alaska",NOME,Alaska,-165.424270,64.512028,,,,,,,,0,,,,,,
"Ophir, Alaska",Ophir,Alaska,-156.463593,63.135571,,,,,,,,0,,,,,,
"Port Wakefield, Alaska",Port Wakefield,Alaska,-153.052500,58.0491667,,,,,,,,0,,,,,,
"Portage, Alaska",Portage,Alaska,-157.678062,58.903486,,,,,,,,0,,,,,,
"PORTLOCK, Alaska",PORTLOCK,Alaska,-151.230306,60.5564758,,,,,,,,0,,,,,,
"SKAGWAY, Alaska",SKAGWAY,Alaska,-135.313889,59.4583333,,,,,,,,0,,,,,,
"SNETTISHAM, Alaska",SNETTISHAM,Alaska,-133.729444,58.1341667,,,,,,,,0,,,,,,
"THREE SAINTS BAY, Alaska",THREE SAINTS BAY,Alaska,-153.488056,57.1491667,,,,,,,,0,,,,,,
"Tin City, Alaska",Tin City,Alaska,-167.948056,65.5586111,,,,,,,,0,,,,,,
"Unga, Alaska",Unga,Alaska,-160.506389,55.1827778,,,,,,,,0,,,,,,
"UTICA, Alaska",UTICA,Alaska,-163.052500,65.9241667,,,,,,,,0,,,,,,
"Adamana, Arizona",Adamana,Arizona,-109.818268,34.978199,,,,,,,,0,,,,,,
"Agua Caliente, Arizona",Agua Caliente,Arizona,-113.324280,32.98513,,,,,,,,0,,,,,,
"Alamo Crossing, Arizona",Alamo Crossing,Arizona,-113.583191,34.260201,,,,,,,,0,,,,,,
"Alto, Arizona",Alto,Arizona,-110.874969,31.607651,,,,,,,,0,,,,,,
"Aravaipa, Arizona",Aravaipa,Arizona,-110.355766,32.94669,,,,,,,,0,,,,,,
"Arivaca, Arizona",Arivaca,Arizona,-111.331440,31.57711,,,,,1833,,,0,"Gold, silver, lead, copper",0,,,,
"Aztec, Arizona",Aztec,Arizona,-113.442139,32.825321,,,,,,,,0,,,,,,
"Bisbee, Arizona",Bisbee,Arizona,-109.897778,31.418333,,,,,1880,,,0,"Copper, gold, silver",0,,,,
"Black Diamond, Arizona",Black Diamond,Arizona,-109.905869,31.84269,,,,,,,,0,,,,,,
"Bumble Bee, Arizona",Bumble Bee,Arizona,-112.153056,34.200833,,,,,1863,,,0,,0,,,,
"Cascabel, Arizona",Cascabel,Arizona,-110.377579,32.29034,,,,,,,,0,,,,,,
"Cerbat, Arizona",Cerbat,Arizona,-114.139722,35.303056,,,,,1867,1867,1872,5,,5,,,,
"Cerro Colorado, Arizona",Cerro Colorado,Arizona,-111.272500,31.658889,,,,,1879,1879,1911,32,,32,,,,
"Charleston, Arizona",Charleston,Arizona,-110.172592,31.62912,,,,,,,,0,,,,,,
"Cherry, Arizona",Cherry,Arizona,-111.963928,34.592972,,,,,,,,0,,,,,,
"Chloride City, Arizona",Chloride City,Arizona,-114.202888,35.412417,,,,,1840,1840,1944,104,"Silver, gold, lead, zinc, turquoise",104,,,,
"Clarkdale, Arizona",Clarkdale,Arizona,-112.050000,34.766667,,,,,1912,,,0,,0,,,,
"Cleator, Arizona",Cleator,Arizona,-112.233056,34.278611,,,,,1864,1864,1954,90,,90,,,,
"Clemenceau, Arizona",Clemenceau,Arizona,-112.025108,34.730888,,,,,,,,0,,,,,,
"Cochise, Arizona",Cochise,Arizona,-109.921667,32.113611,,,,,1880,,,0,,0,,,,
"Cochise, Arizona",Cochise,Arizona,-109.912583,32.102807,,,,,,,,0,,,,,,
"Cochran, Arizona",Cochran,Arizona,-111.152008,33.108341,,,,,,,,0,,,,,,
"Congress, Arizona",Congress,Arizona,-112.854924,34.153841,,,,,,,,0,,,,,,
"Contention City, Arizona",Contention City,Arizona,-110.217468,31.76074,,,,,,,,0,,,,,,
"Copper Creek, Arizona",Copper Creek,Arizona,-110.475800,32.750801,,,,,,,,0,,,,,,
"Cordes, Arizona",Cordes,Arizona,-112.166367,34.30328,,,,,,,,0,,,,,,
"Courtland, Arizona",Courtland,Arizona,-109.811203,31.76878,,,,,,,,0,,,,,,
"Crown King, Arizona",Crown King,Arizona,-112.337328,34.204892,,,,,,,,0,,,,,,
"Dos Cabezas, Arizona",Dos Cabezas,Arizona,-109.613398,32.1753571,,,,,,,,0,,,,,,
"Ehrenberg, Arizona",Ehrenberg,Arizona,-114.506359,33.617445,,,,,,,,0,,,,,,
"Fairbank, Arizona",Fairbank,Arizona,-110.187187,31.722231,,,,,,,,0,,,,,,
